id	direction	compartment	gpr	name	enzyme	deltag	reference	equation	definition	ms id	bigg id	kegg id	kegg pathways	metacyc pathways
R-r0445_e0	=	Extracellular_0	114976_gene	CustomReaction_e0				(2)  cpd00067[e0] + (1)  cpd11746[e0] <=> (1)  cpd00001[e0] + (1)  cpd11791[e0]	(2)  H+[e0] + (1)  Cellulose[e0] <=> (1)  H2O[e0] + (1)  1,3-beta-Glucan[e0]	rxn00000				
rxn06493_m0	=	m_0	(118734_gene)	CustomReaction_m0		1.55		(1)  cpd00004[m0] + (1)  cpd00067[m0] + (1)  cpd12005[m0] <=> (1)  cpd00003[m0] + (1)  cpd12225[m0]	(1)  NADH[m0] + (1)  H+[m0] + (1)  Lipoylprotein[m0] <=> (1)  NAD[m0] + (1)  Dihydrolipolprotein[m0]	rxn06493	GCCc	R03815	Glycine, serine and threonine metabolism	
R-tr-amp_e0	=	Extracellular_0	92968_gene	CustomReaction_e0				(1)  cpd00018[e0] <=> (1)  cpd00018[c0]	(1)  AMP[e0] <=> (1)  AMP[c0]	rxn00000				
rxn00860_c0	=	Cytosol_0	(115929_gene)	S-adenosyl-L-methionine:L-histidine N-methyltransferase_c0		-6.74		(1)  cpd00017[c0] + (1)  cpd00119[c0] <=> (1)  cpd00019[c0] + (1)  cpd00848[c0]	(1)  S-Adenosyl-L-methionine[c0] + (1)  L-Histidine[c0] <=> (1)  S-Adenosyl-homocysteine[c0] + (1)  1-Methylhistidine[c0]	rxn00860	ARMT	R01159	Histidine metabolism	
R-tr-dglc:h_e0	=	Extracellular_0	49434_gene	CustomReaction_e0				(1)  M-dglc-e_e0[e0] + (1)  cpd00067[e0] <=> (1)  M-dglc-c_c0[c0] + (1)  cpd00067[c0]	(1)  D-glucose[e0] + (1)  H+[e0] <=> (1)  D-glucose[c0] + (1)  H+[c0]	rxn00000				
rxn00543_c0	=	Cytosol_0	(114889_gene)	ethanol:NAD+ oxidoreductase_c0		5.78		(1)  cpd00003[c0] + (1)  cpd00363[c0] <=> (1)  cpd00004[c0] + (1)  cpd00067[c0] + (1)  cpd00071[c0]	(1)  NAD[c0] + (1)  Ethanol[c0] <=> (1)  NADH[c0] + (1)  H+[c0] + (1)  Acetaldehyde[c0]	rxn00543	ADH1	R00754	Glycolysis / Gluconeogenesis	Alcohol-Degradation|Biosynthesis|CARBOXYLATES-DEG|Carbohydrates-Biosynthesis|Carbohydrates-Degradation|Degradation|ETOH-ACETYLCOA-ANA-PWY|Energy-Metabolism|Ethanol-Degradation|FERMENTATION-PWY|Fermentation|Other-Degradation|P122-PWY|P161-PWY|P441-PWY|P461-PWY|PWY66-21|Pyruvate-Degradation|SECONDARY-METABOLITE-DEGRADATION|SUCROSE-DEG|SUGAR-ALCOHOLS-DEG|Sugar-Derivatives|Sugars-And-Polysaccharides
rxn01252_c0	=	Cytosol_0	(117043_gene)	Pyridoxine:oxygen oxidoreductase (deaminating)_c0	1.1.3.12	-28.04		(1)  cpd00007[c0] + (1)  cpd00263[c0] <=> (1)  cpd00025[c0] + (1)  cpd00215[c0]	(1)  O2[c0] + (1)  Pyridoxol[c0] <=> (1)  H2O2[c0] + (1)  Pyridoxal[c0]	rxn01252	PDX3_3	R01711	Vitamin B6 metabolism	Biosynthesis|Cofactor-Biosynthesis
rxn00239_c0	=	Cytosol_0	(118682_gene or 56742_gene or 118682_gene)	ATP:GMP phosphotransferase_c0		9.53		(1)  cpd00002[c0] + (1)  cpd00067[c0] + (1)  cpd00126[c0] <=> (1)  cpd00008[c0] + (1)  cpd00031[c0]	(1)  ATP[c0] + (1)  H+[c0] + (1)  GMP[c0] <=> (1)  ADP[c0] + (1)  GDP[c0]	rxn00239	GK1	R00332	Purine metabolism	Biosynthesis|DENOVOPURINE2-PWY|Metabolic-Clusters|Nucleotide-Biosynthesis|P1-PWY|PRPP-PWY|PUR-NUC-SYN|PYR-NUC-SYN|Purine-Nucleotide-De-Novo-Biosynthesis|Purine-Nucleotides-Salvage
R-r1036_m0	=	m_0	(47049_gene)	CustomReaction_m0				(1)  cpd00266[m0] + (1)  cpd01695[m0] <=> (1)  M-c140car-m_m0[m0] + (1)  cpd00010[m0]	(1)  Carnitine[m0] + (1)  Myristoyl-CoA[m0] <=> (1)  myristoyl-carnitine[m0] + (1)  CoA[m0]	rxn00000				
rxn00690_c0	=	Cytosol_0	(51905_gene)	Formate:tetrahydrofolate ligase (ADP-forming)_c0		13.43		(1)  cpd00002[c0] + (1)  cpd00047[c0] + (1)  cpd00087[c0] <=> (1)  cpd00008[c0] + (1)  cpd00009[c0] + (1)  cpd00201[c0]	(1)  ATP[c0] + (1)  Formate[c0] + (1)  Tetrahydrofolate[c0] <=> (1)  ADP[c0] + (1)  Phosphate[c0] + (1)  10-Formyltetrahydrofolate[c0]	rxn00690	ADE3_2	R00943	One carbon pool by folate|Carbon fixation pathways in prokaryotes	1CMET2-PWY|Autotrophic-CO2-Fixation|Biosynthesis|C1-COMPOUNDS|CARBO-BIOSYNTHESIS|CO2-Fixation|CODH-PWY|Carbohydrates-Biosynthesis|Cofactor-Biosynthesis|Degradation|Folate-Biosynthesis|Formaldehyde-Oxidation|Gluconeogenesis|NUCLEO-DEG|P164-PWY|Purine-Degradation|Vitamin-Biosynthesis
R-r0379_c0	=	Cytosol_0	67918_gene	CustomReaction_c0				(1)  cpd00001[c0] + (1)  cpd12241[c0] <=> (1)  cpd00067[c0] + (1)  cpd00164[c0] + (1)  cpd00363[c0]	(1)  H2O[c0] + (1)  Glucuronide[c0] <=> (1)  H+[c0] + (1)  Glucuronate[c0] + (1)  Ethanol[c0]	rxn00000				
rxn02275_c0	=	Cytosol_0	(119539_gene)	4-Guanidinobutanamide amidohydrolase_c0		-4.72		(1)  cpd00001[c0] + (1)  cpd01973[c0] <=> (1)  cpd00013[c0] + (1)  cpd00762[c0]	(1)  H2O[c0] + (1)  4-Guanidinobutanamide[c0] <=> (1)  NH3[c0] + (1)  4-Guanidinobutanoate[c0]	rxn02275	AMD2_1	R03180	Arginine and proline metabolism	ARGDEG-V-PWY|ARGININE-DEG|Amino-Acid-Degradation|Degradation
R-r0467_c0	=	Cytosol_0	113306_gene	CustomReaction_c0				(2)  cpd00017[c0] + (1)  cpd00074[c0] + (1)  cpd01311[c0] <=> (2)  cpd00060[c0] + (1)  cpd00104[c0] + (2)  cpd00438[c0]	(2)  S-Adenosyl-L-methionine[c0] + (1)  S[c0] + (1)  Dethiobiotin[c0] <=> (2)  L-Methionine[c0] + (1)  BIOT[c0] + (2)  Deoxyadenosine[c0]	rxn00000				
R-r1030_c0	=	Cytosol_0	47049_gene	CustomReaction_c0				(1)  M-c162coa-c_c0[c0] + (1)  cpd00266[c0] <=> (1)  M-c162car-c_c0[c0] + (1)  cpd00010[c0]	(1)  hexadecadienoyl-CoA[c0] + (1)  Carnitine[c0] <=> (1)  hexadecadienoyl-carnitine[c0] + (1)  CoA[c0]	rxn00000				
rxn00747_c0	=	Cytosol_0	(117854_gene)	D-glyceraldehyde-3-phosphate aldose-ketose-isomerase_c0		-1.46		(1)  cpd00095[c0] <=> (1)  cpd00102[c0]	(1)  Glycerone-phosphate[c0] <=> (1)  Glyceraldehyde3-phosphate[c0]	rxn00747	TPI	R01015	Glycolysis / Gluconeogenesis|Fructose and mannose metabolism|Inositol phosphate metabolism|Carbon fixation in photosynthetic organisms	ANAEROFRUCAT-PWY|ANAGLYCOLYSIS-PWY|Autotrophic-CO2-Fixation|Biosynthesis|C1-COMPOUNDS|CALVIN-PWY|CARBO-BIOSYNTHESIS|CARBOXYLATES-DEG|CO2-Fixation|Carbohydrates-Biosynthesis|Carbohydrates-Degradation|Degradation|Energy-Metabolism|Fermentation|Formaldehyde-Assimilation|GLYCOLYSIS|GLYCOLYSIS-E-D|GLYCOLYSIS-TCA-GLYOX-BYPASS|GLYCOLYSIS-VARIANTS|Gluconeogenesis|P185-PWY|P341-PWY|P441-PWY|P461-PWY|PHOTOALL-PWY|PWY66-373|Photosynthesis|SECONDARY-METABOLITE-DEGRADATION|SUCROSE-DEG|SUGAR-ALCOHOLS-DEG|Sugar-Derivatives|Sugars-And-Polysaccharides|TCA-VARIANTS
rxn20197_m0	=	m_0	(113748_gene)	CustomReaction_m0		-5.25		(1)  cpd00010[m0] + (1)  cpd02124[m0] <=> (1)  cpd00022[m0] + (1)  cpd00086[m0]	(1)  CoA[m0] + (1)  2-Methylacetoacetyl-CoA[m0] <=> (1)  Acetyl-CoA[m0] + (1)  Propionyl-CoA[m0]	rxn20197				Amino-Acid-Degradation|Biosynthesis|Degradation|ILEUDEG-PWY|ISOLEUCINE-DEG|Other-biosynthesis
rxn04377_c0	=	Cytosol_0	(117484_gene)	3-sn-phosphatidate phosphohydrolase_c0		7.21		(1)  cpd00001[c0] + (1)  cpd03651[c0] <=> (1)  cpd00009[c0] + (1)  cpd00267[c0]	(1)  H2O[c0] + (1)  Sphingosine 1-phosphate[c0] <=> (1)  Phosphate[c0] + (1)  Sphingoid[c0]	rxn04377		R06521	Sphingolipid metabolism	Degradation|Fatty-Acid-and-Lipid-Degradation|PWY3DJ-11470
rxn19986_m0	=	m_0	113748_gene	CustomReaction_m0		-7.06		(1)  cpd00010[m0] + (1)  cpd12689[m0] <=> (1)  cpd00022[m0] + (1)  cpd01260[m0]	(1)  CoA[m0] + (1)  3-Oxotetradecanoyl-CoA[m0] <=> (1)  Acetyl-CoA[m0] + (1)  Lauroyl-CoA[m0]	rxn19986	ACACT6p			
R-r0636_c0	=	Cytosol_0	116137_gene	CustomReaction_c0				(1)  cpd11423[c0] + (1)  cpd11456[c0] <=> (1)  M-lpe-c_c0[c0] + (1)  cpd11677[c0]	(1)  1,2-Diacyl-sn-glycerol[c0] + (1)  Phosphatidylethanolamine[c0] <=> (1)  L-lysophosphatidylethanolamine[c0] + (1)  Triglyceride[c0]	rxn00000				
rxn00244_c0	=	Cytosol_0	(124209_gene)	Oxaloacetate acetylhydrolase_c0	3.7.1.1	-11.61		(1)  cpd00001[c0] + (1)  cpd00032[c0] <=> (1)  cpd00029[c0] + (1)  cpd00067[c0] + (1)  cpd00180[c0]	(1)  H2O[c0] + (1)  Oxaloacetate[c0] <=> (1)  Acetate[c0] + (1)  H+[c0] + (1)  Oxalate[c0]	rxn00244		R00338		Biosynthesis|SECONDARY-METABOLITE-BIOSYNTHESIS
rxn00248_m0	=	m_0	(114572_gene)	CustomReaction_m0		6.22		(1)  cpd00003[m0] + (1)  cpd00130[m0] <=> (1)  cpd00004[m0] + (1)  cpd00032[m0] + (1)  cpd00067[m0]	(1)  NAD[m0] + (1)  L-Malate[m0] <=> (1)  NADH[m0] + (1)  Oxaloacetate[m0] + (1)  H+[m0]	rxn00248	MDH	R00342	Citrate cycle (TCA cycle)|Pyruvate metabolism|Glyoxylate and dicarboxylate metabolism|Methane metabolism|Carbon fixation in photosynthetic organisms|Carbon fixation pathways in prokaryotes	ANAEROBIC-RESPIRATION|ANARESP1-PWY|ASPARTATE-DEG|Amino-Acid-Degradation|Autotrophic-CO2-Fixation|Biosynthesis|C1-COMPOUNDS|CARBO-BIOSYNTHESIS|CO2-Fixation|Carbohydrates-Biosynthesis|Degradation|Energy-Metabolism|FERMENTATION-PWY|Fermentation|Formaldehyde-Assimilation|GLUCONEO-PWY|GLUTAMATE-DEG|GLYCOLYSIS-TCA-GLYOX-BYPASS|GLYCOLYSIS-VARIANTS|GLYOXYLATE-BYPASS|Gluconeogenesis|MALATE-ASPARTATE-SHUTTLE-PWY|MALATE-OXALOACETATE-SHUTTLE|P105-PWY|P108-PWY|P23-PWY|P42-PWY|Pyruvate-Degradation|Reductive-TCA-Cycles|Respiration|TCA|TCA-GLYOX-BYPASS|TCA-VARIANTS|Transport-Pathways
rxn00140_c0	=	Cytosol_0	(111348_gene)	adenosine 3',5'-phosphate 5'-nucleotidohydrolase_c0	3.1.4.53	-18.82		(1)  cpd00001[c0] + (1)  cpd00446[c0] <=> (1)  cpd00018[c0] + (1)  cpd00067[c0]	(1)  H2O[c0] + (1)  cAMP[c0] <=> (1)  AMP[c0] + (1)  H+[c0]	rxn00140	PDE1	R00191	Purine metabolism	
R-tr-ura_e0	=	Extracellular_0	92968_gene	CustomReaction_e0				(1)  cpd00092[e0] <=> (1)  cpd00092[c0]	(1)  Uracil[e0] <=> (1)  Uracil[c0]	rxn00000				
rxn02288_c0	=	Cytosol_0	(149072_gene)	Uroporphyrinogen-III carboxy-lyase_c0		-19.6		(4)  cpd00067[c0] + (1)  cpd00774[c0] <=> (4)  cpd00011[c0] + (1)  cpd02083[c0]	(4)  H+[c0] + (1)  UroporphyrinogenIII[c0] <=> (4)  CO2[c0] + (1)  CoproporphyrinogenIII[c0]	rxn02288	UPPDC1	R03197	Porphyrin and chlorophyll metabolism	Biosynthesis|CHLOROPHYLL-SYN|Chlorophyll-Biosynthesis|Chlorophyll-a-Biosynthesis|Chlorophyllide-a-Biosynthesis|Cofactor-Biosynthesis|HEME-BIOSYNTHESIS-II|HEME-SYN|HEMESYN2-PWY|PWY0-1415|Porphyrin-Compounds-Biosynthesis
rxn06090_m0	=	m_0	(104542_gene)	CustomReaction_m0		-12.62		(1)  cpd11455[m0] <=> (1)  cpd00011[m0] + (1)  cpd11456[m0]	(1)  ps_BS[m0] <=> (1)  CO2[m0] + (1)  Phosphatidylethanolamine[m0]	rxn06090	PSD	R02055	Glycerophospholipid metabolism	
rxn03250_m0	=	m_0	(114037_gene)	CustomReaction_m0		2.16		(1)  cpd03122[m0] <=> (1)  cpd00001[m0] + (1)  cpd03125[m0]	(1)  (S) -Hydroxyhexanoyl-CoA[m0] <=> (1)  H2O[m0] + (1)  (2E) -Hexenoyl-CoA[m0]	rxn03250	ECOAH2	R04749	Fatty acid elongation|Fatty acid degradation	Energy-Metabolism|Fermentation
R-r0588_c0	=	Cytosol_0	130292_gene	CustomReaction_c0				(1)  cpd00007[c0] + (1)  cpd00363[c0] <=> (1)  cpd00025[c0] + (1)  cpd00071[c0]	(1)  O2[c0] + (1)  Ethanol[c0] <=> (1)  H2O2[c0] + (1)  Acetaldehyde[c0]	rxn00000				
R-r0866_c0	=	Cytosol_0	(85519_gene)	CustomReaction_c0		-21.55		(1)  cpd00002[c0] + (1)  cpd00010[c0] + (1)  cpd00536[c0] <=> (1)  cpd00012[c0] + (1)  cpd00018[c0] + (1)  cpd00067[c0] + (1)  cpd00399[c0]	(1)  ATP[c0] + (1)  CoA[c0] + (1)  Oleate[c0] <=> (1)  PPi[c0] + (1)  AMP[c0] + (1)  H+[c0] + (1)  Oleoyl-CoA[c0]	rxn32436				
rxn01207_m0	=	m_0	118734_gene	CustomReaction_m0		-8.14		(1)  cpd00003[m0] + (1)  cpd00010[m0] + (1)  cpd00200[m0] <=> (1)  cpd00004[m0] + (1)  cpd00011[m0] + (1)  cpd01882[m0]	(1)  NAD[m0] + (1)  CoA[m0] + (1)  4MOP[m0] <=> (1)  NADH[m0] + (1)  CO2[m0] + (1)  Isovaleryl-CoA[m0]	rxn01207	OIVD1	R01651		Amino-Acid-Degradation|Degradation|LEU-DEG2-PWY|LEUCINE-DEG
rxn04453_c0	=	Cytosol_0	(125395_gene)	5-hydroxyisourate amidohydrolase_c0		-24.79		(1)  cpd00001[c0] + (1)  cpd08625[c0] <=> (1)  cpd00067[c0] + (1)  cpd09027[c0]	(1)  H2O[c0] + (1)  5-Hydroxyisourate[c0] <=> (1)  H+[c0] + (1)  5-Hydroxy-2-oxo-4-ureido-2,5-dihydro-1H-imidazole-5-carboxylate[c0]	rxn04453		R06601	Purine metabolism	AROMATIC-COMPOUNDS-DEGRADATION|Biosynthesis|Degradation|P165-PWY|Polyamine-Biosynthesis|URSIN-PWY|Urate-Degradation
rxn01137_c0	=	Cytosol_0	(113095_gene)	Adenosine aminohydrolase_c0		-8.48		(1)  cpd00001[c0] + (1)  cpd00067[c0] + (1)  cpd00182[c0] <=> (1)  cpd00013[c0] + (1)  cpd00246[c0]	(1)  H2O[c0] + (1)  H+[c0] + (1)  Adenosine[c0] <=> (1)  NH3[c0] + (1)  Inosine[c0]	rxn01137	AAH1_1	R01560	Purine metabolism	Adenine-Adenosine-Salvage|Adenosine-Nucleotides-Degradation|Biosynthesis|Degradation|NUCLEO-DEG|Nucleotide-Biosynthesis|PUR-NUC-SYN|PWY0-1296|Purine-Degradation|Purine-Nucleotides-Salvage|SALVADEHYPOX-PWY
rxn07332_m0	=	m_0	117372_gene	CustomReaction_m0		-20.64		(1)  cpd00017[m0] + (1)  cpd14613[m0] <=> (1)  cpd00019[m0] + (1)  cpd00067[m0] + (1)  cpd14614[m0]	(1)  S-Adenosyl-L-methionine[m0] + (1)  2-Methyl-6-phytylquinol[m0] <=> (1)  S-Adenosyl-homocysteine[m0] + (1)  H+[m0] + (1)  2,3-Dimethyl-5-phytylquinol[m0]	rxn07332		R07501	Ubiquinone and other terpenoid-quinone biosynthesis	Biosynthesis|Cofactor-Biosynthesis|Quinone-Biosynthesis|Vitamin-Biosynthesis
rxn02134_c0	=	Cytosol_0	(73778_gene)	Sphinganine:NADP+ 3-oxidoreductase_c0		3.76		(1)  cpd00005[c0] + (1)  cpd00067[c0] + (1)  cpd01879[c0] <=> (1)  cpd00006[c0] + (1)  cpd00623[c0]	(1)  NADPH[c0] + (1)  H+[c0] + (1)  3-Dehydrosphinganine[c0] <=> (1)  NADP[c0] + (1)  Sphinganine[c0]	rxn02134	3DSPHR	R02978	Sphingolipid metabolism	Biosynthesis|Degradation|Fatty-Acid-and-Lipid-Degradation|Lipid-Biosynthesis|PWY3DJ-12|SPHINGOLIPID-SYN-PWY
R-tr-cu_c0	=	Cytosol_0	118102_gene	CustomReaction_e0				(1)  cpd00001[c0] + (1)  cpd00002[c0] + (1)  cpd00058[c0] <=> (1)  cpd00008[c0] + (1)  cpd00009[c0] + (1)  cpd00058[e0] + (1)  cpd00067[c0]	(1)  H2O[c0] + (1)  ATP[c0] + (1)  Cu2+[c0] <=> (1)  ADP[c0] + (1)  Phosphate[c0] + (1)  Cu2+[e0] + (1)  H+[c0]	rxn00000				
rxn05239_c0	=	Cytosol_0	(115338_gene)	adenosine 3',5'-bisphosphate,sulfite:oxidized-thioredoxin oxidoreductase (3'-phosphoadenosine-5'-phosphosulfate -forming)_c0				(1)  cpd00044[c0] + (1)  cpd11421[c0] <=> (1)  cpd00045[c0] + (1)  cpd00067[c0] + (1)  cpd00081[c0] + (1)  cpd11420[c0]	(1)  3-phosphoadenylylsulfate[c0] + (1)  trdrd[c0] <=> (1)  Adenosine 3-5-bisphosphate[c0] + (1)  H+[c0] + (1)  Sulfite[c0] + (1)  trdox[c0]	rxn05239	PAPR	R02021	Sulfur metabolism	
R-r1052_c0	=	Cytosol_0	(114298_gene or 122734_gene)	CustomReaction_c0				(1)  M-dgeod-c_c0[c0] <=> (1)  M-geod-c_c0[c0]	(1)  dihydrogeodin[c0] <=> (1)  geodin[c0]	rxn00000				
rxn01353_c0	=	Cytosol_0	(119859_gene)	ATP:dGDP phosphotransferase_c0		0		(1)  cpd00002[c0] + (1)  cpd00295[c0] <=> (1)  cpd00008[c0] + (1)  cpd00241[c0]	(1)  ATP[c0] + (1)  dGDP[c0] <=> (1)  ADP[c0] + (1)  dGTP[c0]	rxn01353	NDPK5	R01857	Purine metabolism	Biosynthesis|DENOVOPURINE2-PWY|Nucleotide-Biosynthesis|PRPP-PWY|PUR-NUC-SYN|Purine-Nucleotide-De-Novo-Biosynthesis
rxn00899_m0	=	m_0	118734_gene	CustomReaction_m0		-8.14		(1)  cpd00003[m0] + (1)  cpd00010[m0] + (1)  cpd00123[m0] <=> (1)  cpd00004[m0] + (1)  cpd00011[m0] + (1)  cpd00481[m0]	(1)  NAD[m0] + (1)  CoA[m0] + (1)  3-Methyl-2-oxobutanoate[m0] <=> (1)  NADH[m0] + (1)  CO2[m0] + (1)  Isobutyryl-CoA[m0]	rxn00899	2LDA	R01210		Amino-Acid-Degradation|Degradation|VALDEG-PWY|VALINE-DEG
R-tr-k_c0	=	Cytosol_0	(128154_gene or 118102_gene)	CustomReaction_e0				(1)  cpd00001[c0] + (1)  cpd00002[c0] + (1)  cpd00205[e0] <=> (1)  cpd00008[c0] + (1)  cpd00009[c0] + (1)  cpd00067[e0] + (1)  cpd00205[c0]	(1)  H2O[c0] + (1)  ATP[c0] + (1)  K+[e0] <=> (1)  ADP[c0] + (1)  Phosphate[c0] + (1)  H+[e0] + (1)  K+[c0]	rxn00000				
rxn00906_c0	=	Cytosol_0	(115424_gene or 115424_gene)	5,10-methylenetetrahydrofolate:NAD+ oxidoreductase_c0		1.92		(1)  cpd00003[c0] + (1)  cpd00125[c0] <=> (1)  cpd00004[c0] + (1)  cpd00347[c0]	(1)  NAD[c0] + (1)  5-10-Methylenetetrahydrofolate[c0] <=> (1)  NADH[c0] + (1)  5-10-Methenyltetrahydrofolate[c0]	rxn00906	MTD1	R01218	One carbon pool by folate	Biosynthesis|Cofactor-Biosynthesis|Folate-Biosynthesis|Vitamin-Biosynthesis
rxn02155_c0	=	Cytosol_0	(155817_gene)	ATP:nicotinamide-nucleotide adenylyltransferase_c0		1.07		(1)  cpd00002[c0] + (1)  cpd00873[c0] <=> (1)  cpd00012[c0] + (1)  cpd00638[c0]	(1)  ATP[c0] + (1)  Nicotinate ribonucleotide[c0] <=> (1)  PPi[c0] + (1)  Deamido-NAD[c0]	rxn02155	NNAT	R03005	Nicotinate and nicotinamide metabolism	Biosynthesis|Cofactor-Biosynthesis|NAD-Metabolism|NAD-SYN|NADSYN-PWY|PWY0-781|PYRIDNUCSAL-PWY|PYRIDNUCSYN-PWY
rxn02911_m0	=	m_0	(114037_gene)	CustomReaction_m0		2.16		(1)  cpd03116[m0] <=> (1)  cpd00001[m0] + (1)  cpd02060[m0]	(1)  (S) -3-Hydroxydodecanoyl-CoA[m0] <=> (1)  H2O[m0] + (1)  (2E) -Dodecenoyl-CoA[m0]	rxn02911	ECOAH5	R04170	Fatty acid elongation|Fatty acid degradation	
R-r1031_c0	=	Cytosol_0	(47049_gene)	CustomReaction_c0				(1)  cpd00266[c0] + (1)  cpd00327[c0] <=> (1)  M-c180car-c_c0[c0] + (1)  cpd00010[c0]	(1)  Carnitine[c0] + (1)  strcoa[c0] <=> (1)  stearoyl-carnitine[c0] + (1)  CoA[c0]	rxn00000				
